# Time	Temperature [K]	Pressure [Pa]
0.0466	1005.51	1.36789e+06
0.0467	1005.57	1.36789e+06
0.0468	1005.63	1.36789e+06
0.0469	1005.69	1.36789e+06
0.047	1005.76	1.36789e+06
0.0471	1005.82	1.36789e+06
0.0472	1005.89	1.36789e+06
0.0473	1005.95	1.36789e+06
0.0474	1006.02	1.36789e+06
0.0475	1006.09	1.36789e+06
0.0476	1006.16	1.36789e+06
0.0477	1006.23	1.36789e+06
0.0478	1006.3	1.36789e+06
0.0479	1006.37	1.36789e+06
0.048	1006.45	1.36789e+06
0.0481	1006.52	1.36789e+06
0.0482	1006.6	1.36789e+06
0.0483	1006.67	1.36789e+06
0.0484	1006.75	1.36789e+06
0.0485	1006.83	1.36789e+06
0.0486	1006.92	1.36789e+06
0.0487	1007	1.36789e+06
0.0488	1007.08	1.36789e+06
0.0489	1007.17	1.36789e+06
0.049	1007.26	1.36789e+06
0.0491	1007.35	1.36789e+06
0.0492	1007.44	1.36789e+06
0.0493	1007.53	1.36789e+06
0.0494	1007.62	1.36789e+06
0.0495	1007.72	1.36789e+06
0.0496	1007.82	1.36789e+06
0.0497	1007.92	1.36789e+06
0.0498	1008.02	1.36789e+06
0.0499	1008.12	1.36789e+06
0.05	1008.23	1.36789e+06
0.0501	1008.33	1.36789e+06
0.0502	1008.44	1.36789e+06
0.0503	1008.55	1.36789e+06
0.0504	1008.67	1.36789e+06
0.0505	1008.78	1.36789e+06
0.0506	1008.9	1.36789e+06
0.0507	1009.02	1.36789e+06
0.0508	1009.15	1.36789e+06
0.0509	1009.27	1.36789e+06
0.051	1009.4	1.36789e+06
0.0511	1009.53	1.36789e+06
0.0512	1009.67	1.36789e+06
0.0513	1009.81	1.36789e+06
0.0514	1009.95	1.36789e+06
0.0515	1010.09	1.36789e+06
0.0516	1010.24	1.36789e+06
0.0517	1010.39	1.36789e+06
0.0518	1010.54	1.36789e+06
0.0519	1010.7	1.36789e+06
0.052	1010.86	1.36789e+06
0.0521	1011.03	1.36789e+06
0.0522	1011.2	1.36789e+06
0.0523	1011.37	1.36789e+06
0.0524	1011.55	1.36789e+06
0.0525	1011.73	1.36789e+06
0.0526	1011.92	1.36789e+06
0.0527	1012.11	1.36789e+06
0.0528	1012.31	1.36789e+06
0.0529	1012.51	1.36789e+06
0.053	1012.72	1.36789e+06
0.0531	1012.93	1.36789e+06
0.05315	1013.04	1.36789e+06
0.0532493	1013.26	1.36789e+06
0.0532989	1013.37	1.36789e+06
0.0533975	1013.6	1.36789e+06
0.0534467	1013.72	1.36789e+06
0.0535445	1013.96	1.36789e+06
0.0535934	1014.08	1.36789e+06
0.0536905	1014.32	1.36789e+06
0.053739	1014.45	1.36789e+06
0.0538354	1014.7	1.36789e+06
0.0538835	1014.83	1.36789e+06
0.0539791	1015.1	1.36789e+06
0.0540269	1015.23	1.36789e+06
0.0541217	1015.51	1.36789e+06
0.0541691	1015.65	1.36789e+06
0.0542632	1015.93	1.36789e+06
0.0543102	1016.08	1.36789e+06
0.0544035	1016.37	1.36789e+06
0.0544501	1016.52	1.36789e+06
0.0545426	1016.83	1.36789e+06
0.0545888	1016.99	1.36789e+06
0.0546806	1017.31	1.36789e+06
0.0547264	1017.48	1.36789e+06
0.0548173	1017.81	1.36789e+06
0.0548628	1017.98	1.36789e+06
0.0549529	1018.33	1.36789e+06
0.054998	1018.51	1.36789e+06
0.0550873	1018.87	1.36789e+06
0.055132	1019.06	1.36789e+06
0.0552205	1019.44	1.36789e+06
0.0552647	1019.63	1.36789e+06
0.0553524	1020.03	1.36789e+06
0.0553963	1020.23	1.36789e+06
0.0554831	1020.64	1.36789e+06
0.0555266	1020.86	1.36789e+06
0.0556126	1021.29	1.36789e+06
0.0556556	1021.51	1.36789e+06
0.0557408	1021.97	1.36789e+06
0.0557834	1022.2	1.36789e+06
0.0558677	1022.68	1.36789e+06
0.0559099	1022.92	1.36789e+06
0.0559933	1023.42	1.36789e+06
0.0560351	1023.68	1.36789e+06
0.0561177	1024.2	1.36789e+06
0.056159	1024.47	1.36789e+06
0.0562407	1025.03	1.36789e+06
0.0562816	1025.31	1.36789e+06
0.0563624	1025.89	1.36789e+06
0.0564028	1026.2	1.36789e+06
0.0564828	1026.81	1.36789e+06
0.0565227	1027.13	1.36789e+06
0.0566018	1027.78	1.36789e+06
0.0566413	1028.11	1.36789e+06
0.0567194	1028.8	1.36789e+06
0.0567584	1029.15	1.36789e+06
0.0568356	1029.88	1.36789e+06
0.0568742	1030.26	1.36789e+06
0.0569504	1031.03	1.36789e+06
0.0569886	1031.43	1.36789e+06
0.0570639	1032.25	1.36789e+06
0.0571015	1032.68	1.36789e+06
0.0571758	1033.55	1.36789e+06
0.057213	1034	1.36789e+06
0.0572723	1034.76	1.36789e+06
0.0573019	1035.14	1.36789e+06
0.0573606	1035.94	1.36789e+06
0.0573899	1036.35	1.36789e+06
0.0574479	1037.18	1.36789e+06
0.0574769	1037.62	1.36789e+06
0.0575343	1038.5	1.36789e+06
0.0575629	1038.96	1.36789e+06
0.0576196	1039.91	1.36789e+06
0.0576479	1040.39	1.36789e+06
0.0577039	1041.4	1.36789e+06
0.0577319	1041.92	1.36789e+06
0.0577459	1042.18	1.36789e+06
0.0577738	1042.72	1.36789e+06
0.0577877	1042.99	1.36789e+06
0.0578153	1043.55	1.36789e+06
0.0578292	1043.83	1.36789e+06
0.0578566	1044.4	1.36789e+06
0.0578704	1044.7	1.36789e+06
0.0578977	1045.29	1.36789e+06
0.0579113	1045.59	1.36789e+06
0.0579385	1046.21	1.36789e+06
0.057952	1046.52	1.36789e+06
0.057979	1047.16	1.36789e+06
0.0579924	1047.48	1.36789e+06
0.0580192	1048.14	1.36789e+06
0.0580326	1048.48	1.36789e+06
0.0580592	1049.16	1.36789e+06
0.0580725	1049.51	1.36789e+06
0.0580989	1050.23	1.36789e+06
0.0581121	1050.59	1.36789e+06
0.0581383	1051.33	1.36789e+06
0.0581514	1051.71	1.36789e+06
0.0581775	1052.48	1.36789e+06
0.0581905	1052.87	1.36789e+06
0.0582163	1053.67	1.36789e+06
0.0582292	1054.08	1.36789e+06
0.0582549	1054.91	1.36789e+06
0.0582677	1055.34	1.36789e+06
0.0582932	1056.21	1.36789e+06
0.058306	1056.66	1.36789e+06
0.0583312	1057.57	1.36789e+06
0.0583439	1058.03	1.36789e+06
0.058369	1058.99	1.36789e+06
0.0583815	1059.47	1.36789e+06
0.0584064	1060.47	1.36789e+06
0.0584189	1060.98	1.36789e+06
0.0584436	1062.03	1.36789e+06
0.0584559	1062.56	1.36789e+06
0.0584804	1063.66	1.36789e+06
0.0584927	1064.23	1.36789e+06
0.058517	1065.38	1.36789e+06
0.0585292	1065.97	1.36789e+06
0.0585533	1067.19	1.36789e+06
0.0585653	1067.82	1.36789e+06
0.0585892	1069.1	1.36789e+06
0.0586012	1069.76	1.36789e+06
0.0586249	1071.12	1.36789e+06
0.0586308	1071.47	1.36789e+06
0.0586426	1072.18	1.36789e+06
0.0586485	1072.54	1.36789e+06
0.0586603	1073.27	1.36789e+06
0.0586662	1073.64	1.36789e+06
0.0586779	1074.39	1.36789e+06
0.0586837	1074.77	1.36789e+06
0.0586954	1075.54	1.36789e+06
0.0587012	1075.94	1.36789e+06
0.0587128	1076.73	1.36789e+06
0.0587186	1077.14	1.36789e+06
0.0587301	1077.97	1.36789e+06
0.0587359	1078.39	1.36789e+06
0.0587474	1079.24	1.36789e+06
0.0587531	1079.67	1.36789e+06
0.0587646	1080.55	1.36789e+06
0.0587703	1081	1.36789e+06
0.0587817	1081.92	1.36789e+06
0.0587874	1082.38	1.36789e+06
0.0587987	1083.33	1.36789e+06
0.0588044	1083.81	1.36789e+06
0.0588156	1084.79	1.36789e+06
0.0588213	1085.29	1.36789e+06
0.0588325	1086.31	1.36789e+06
0.0588381	1086.83	1.36789e+06
0.0588493	1087.88	1.36789e+06
0.0588549	1088.42	1.36789e+06
0.058866	1089.52	1.36789e+06
0.0588716	1090.08	1.36789e+06
0.0588826	1091.23	1.36789e+06
0.0588882	1091.81	1.36789e+06
0.0588992	1093	1.36789e+06
0.0589047	1093.61	1.36789e+06
0.0589156	1094.86	1.36789e+06
0.0589211	1095.5	1.36789e+06
0.058932	1096.79	1.36789e+06
0.0589374	1097.46	1.36789e+06
0.0589483	1098.82	1.36789e+06
0.0589537	1099.52	1.36789e+06
0.0589645	1100.94	1.36789e+06
0.0589699	1101.67	1.36789e+06
0.0589806	1103.17	1.36789e+06
0.058986	1103.94	1.36789e+06
0.0589967	1105.51	1.36789e+06
0.059002	1106.32	1.36789e+06
0.0590126	1107.97	1.36789e+06
0.0590179	1108.82	1.36789e+06
0.0590206	1109.26	1.36789e+06
0.0590259	1110.13	1.36789e+06
0.0590285	1110.58	1.36789e+06
0.0590338	1111.48	1.36789e+06
0.0590364	1111.93	1.36789e+06
0.0590417	1112.86	1.36789e+06
0.0590443	1113.33	1.36789e+06
0.0590496	1114.28	1.36789e+06
0.0590522	1114.77	1.36789e+06
0.0590574	1115.75	1.36789e+06
0.0590601	1116.24	1.36789e+06
0.0590653	1117.26	1.36789e+06
0.0590679	1117.77	1.36789e+06
0.0590731	1118.81	1.36789e+06
0.0590757	1119.34	1.36789e+06
0.0590809	1120.42	1.36789e+06
0.0590835	1120.96	1.36789e+06
0.0590887	1122.07	1.36789e+06
0.0590913	1122.64	1.36789e+06
0.0590964	1123.78	1.36789e+06
0.059099	1124.37	1.36789e+06
0.0591042	1125.55	1.36789e+06
0.0591067	1126.16	1.36789e+06
0.0591119	1127.38	1.36789e+06
0.0591144	1128.01	1.36789e+06
0.0591196	1129.28	1.36789e+06
0.0591221	1129.93	1.36789e+06
0.0591272	1131.24	1.36789e+06
0.0591298	1131.91	1.36789e+06
0.0591349	1133.28	1.36789e+06
0.0591374	1133.97	1.36789e+06
0.0591425	1135.39	1.36789e+06
0.059145	1136.12	1.36789e+06
0.0591501	1137.59	1.36789e+06
0.0591526	1138.34	1.36789e+06
0.0591576	1139.87	1.36789e+06
0.0591602	1140.66	1.36789e+06
0.0591652	1142.25	1.36789e+06
0.0591677	1143.07	1.36789e+06
0.0591727	1144.73	1.36789e+06
0.0591752	1145.58	1.36789e+06
0.0591802	1147.32	1.36789e+06
0.0591827	1148.21	1.36789e+06
0.0591877	1150.02	1.36789e+06
0.0591902	1150.95	1.36789e+06
0.0591952	1152.85	1.36789e+06
0.0591977	1153.82	1.36789e+06
0.0592026	1155.81	1.36789e+06
0.0592051	1156.83	1.36789e+06
0.05921	1158.91	1.36789e+06
0.0592125	1159.98	1.36789e+06
0.0592174	1162.17	1.36789e+06
